,Date,Month,Year,> Northern Territory ;  Unemployment rate ;  Persons ;,> Northern Territory ;  Unemployment rate ;  > Males ;,> Northern Territory ;  Unemployment rate ;  > Females ;
0,Jul-91,Jul,1991,8.4,9.5,7.1
1,Aug-91,Aug,1991,8.4,9.9,6.4
2,Sep-91,Sep,1991,8.4,9.0,7.6
3,Oct-91,Oct,1991,9.8,11.8,7.0
4,Nov-91,Nov,1991,9.1,9.9,8.1
5,Dec-91,Dec,1991,8.9,10.4,6.9
6,Jan-92,Jan,1992,10.0,11.2,8.3
7,Feb-92,Feb,1992,9.7,10.4,8.8
8,Mar-92,Mar,1992,8.5,10.7,5.9
9,Apr-92,Apr,1992,5.7,6.6,4.5
10,May-92,May,1992,6.6,7.4,5.6
11,Jun-92,Jun,1992,6.7,6.9,6.4
12,Jul-92,Jul,1992,8.4,8.6,8.2
13,Aug-92,Aug,1992,5.2,5.5,4.8
14,Sep-92,Sep,1992,7.4,8.4,6.2
15,Oct-92,Oct,1992,6.5,7.5,5.2
16,Nov-92,Nov,1992,8.7,8.8,8.5
17,Dec-92,Dec,1992,8.9,9.3,8.5
18,Jan-93,Jan,1993,8.5,9.5,7.3
19,Feb-93,Feb,1993,10.4,10.8,9.8
20,Mar-93,Mar,1993,9.9,10.5,9.3
21,Apr-93,Apr,1993,7.8,8.4,7.0
22,May-93,May,1993,7.0,7.7,6.0
23,Jun-93,Jun,1993,7.6,8.7,6.2
24,Jul-93,Jul,1993,7.4,7.9,6.8
25,Aug-93,Aug,1993,7.8,7.8,7.7
26,Sep-93,Sep,1993,6.4,6.0,6.9
27,Oct-93,Oct,1993,5.9,7.0,4.6
28,Nov-93,Nov,1993,7.3,8.6,5.6
29,Dec-93,Dec,1993,6.9,6.9,7.0
30,Jan-94,Jan,1994,8.6,7.5,10.2
31,Feb-94,Feb,1994,9.1,8.9,9.3
32,Mar-94,Mar,1994,6.8,7.4,6.0
33,Apr-94,Apr,1994,7.4,7.9,6.8
34,May-94,May,1994,6.2,6.9,5.1
35,Jun-94,Jun,1994,6.2,5.4,7.3
36,Jul-94,Jul,1994,6.9,7.3,6.3
37,Aug-94,Aug,1994,7.0,6.7,7.4
38,Sep-94,Sep,1994,8.2,8.6,7.7
39,Oct-94,Oct,1994,7.4,7.3,7.6
40,Nov-94,Nov,1994,7.2,7.2,7.2
41,Dec-94,Dec,1994,7.1,6.8,7.6
42,Jan-95,Jan,1995,8.4,7.8,9.2
43,Feb-95,Feb,1995,8.4,7.8,9.2
44,Mar-95,Mar,1995,6.8,7.5,5.9
45,Apr-95,Apr,1995,6.2,6.3,6.1
46,May-95,May,1995,5.9,6.1,5.7
47,Jun-95,Jun,1995,5.8,5.8,5.7
48,Jul-95,Jul,1995,7.5,8.0,6.8
49,Aug-95,Aug,1995,7.1,8.4,5.4
50,Sep-95,Sep,1995,6.9,7.5,6.0
51,Oct-95,Oct,1995,7.4,7.8,6.7
52,Nov-95,Nov,1995,6.8,7.2,6.3
53,Dec-95,Dec,1995,6.7,7.4,5.7
54,Jan-96,Jan,1996,7.1,7.7,6.4
55,Feb-96,Feb,1996,7.3,7.4,7.2
56,Mar-96,Mar,1996,8.0,7.2,9.0
57,Apr-96,Apr,1996,8.1,6.0,10.7
58,May-96,May,1996,6.4,6.4,6.4
59,Jun-96,Jun,1996,4.8,4.7,4.9
60,Jul-96,Jul,1996,6.5,6.2,6.9
61,Aug-96,Aug,1996,5.0,5.0,5.1
62,Sep-96,Sep,1996,5.6,5.3,5.8
63,Oct-96,Oct,1996,4.6,4.4,4.9
64,Nov-96,Nov,1996,4.8,4.2,5.6
65,Dec-96,Dec,1996,5.1,5.2,5.0
66,Jan-97,Jan,1997,7.8,7.9,7.6
67,Feb-97,Feb,1997,7.0,7.3,6.6
68,Mar-97,Mar,1997,5.8,5.2,6.6
69,Apr-97,Apr,1997,6.2,5.9,6.5
70,May-97,May,1997,5.5,6.2,4.7
71,Jun-97,Jun,1997,5.1,5.1,5.2
72,Jul-97,Jul,1997,4.3,4.2,4.5
73,Aug-97,Aug,1997,5.1,5.5,4.7
74,Sep-97,Sep,1997,4.9,6.3,3.0
75,Oct-97,Oct,1997,3.0,4.0,1.8
76,Nov-97,Nov,1997,3.9,4.4,3.4
77,Dec-97,Dec,1997,4.7,3.9,5.8
78,Jan-98,Jan,1998,5.1,5.0,5.3
