,Date,Month,Year,> Victoria ;  Unemployment rate ;  Persons ;,> Victoria ;  Unemployment rate ;  > Males ;,> Victoria ;  Unemployment rate ;  > Females ;
0,Jul-91,Jul,1991,9.8,10.3,9.1
1,Aug-91,Aug,1991,9.7,10.9,8.2
2,Sep-91,Sep,1991,10.6,11.4,9.6
3,Oct-91,Oct,1991,9.8,10.4,8.9
4,Nov-91,Nov,1991,10.2,11.1,9.0
5,Dec-91,Dec,1991,11.2,11.8,10.4
6,Jan-92,Jan,1992,11.6,12.1,10.9
7,Feb-92,Feb,1992,12.1,12.4,11.8
8,Mar-92,Mar,1992,11.9,12.5,11.2
9,Apr-92,Apr,1992,11.5,11.9,10.9
10,May-92,May,1992,11.6,12.2,10.9
11,Jun-92,Jun,1992,11.3,11.7,10.7
12,Jul-92,Jul,1992,11.3,12.1,10.2
13,Aug-92,Aug,1992,10.9,11.8,9.8
14,Sep-92,Sep,1992,11.0,11.5,10.4
15,Oct-92,Oct,1992,11.0,11.7,10.1
16,Nov-92,Nov,1992,11.4,12.4,9.9
17,Dec-92,Dec,1992,11.7,11.9,11.4
18,Jan-93,Jan,1993,12.2,13.2,10.8
19,Feb-93,Feb,1993,12.8,13.3,12.1
20,Mar-93,Mar,1993,12.0,12.6,11.1
21,Apr-93,Apr,1993,11.4,12.2,10.3
22,May-93,May,1993,12.3,13.1,11.2
23,Jun-93,Jun,1993,12.0,12.4,11.4
24,Jul-93,Jul,1993,11.8,12.4,10.9
25,Aug-93,Aug,1993,12.1,13.1,10.8
26,Sep-93,Sep,1993,12.1,12.2,11.9
27,Oct-93,Oct,1993,11.7,12.1,11.1
28,Nov-93,Nov,1993,11.8,12.2,11.1
29,Dec-93,Dec,1993,12.2,12.2,12.3
30,Jan-94,Jan,1994,12.8,13.0,12.5
31,Feb-94,Feb,1994,13.2,13.4,12.8
32,Mar-94,Mar,1994,12.4,12.6,12.1
33,Apr-94,Apr,1994,11.2,11.2,11.2
34,May-94,May,1994,10.9,11.2,10.4
35,Jun-94,Jun,1994,10.3,10.7,9.8
36,Jul-94,Jul,1994,9.9,9.8,10.0
37,Aug-94,Aug,1994,10.5,10.5,10.4
38,Sep-94,Sep,1994,10.2,10.2,10.1
39,Oct-94,Oct,1994,9.2,9.4,9.0
40,Nov-94,Nov,1994,9.5,9.8,9.2
41,Dec-94,Dec,1994,9.7,9.4,10.1
42,Jan-95,Jan,1995,10.5,10.4,10.7
43,Feb-95,Feb,1995,10.3,9.9,10.7
44,Mar-95,Mar,1995,9.3,8.9,9.9
45,Apr-95,Apr,1995,8.7,8.6,8.7
46,May-95,May,1995,8.8,9.0,8.4
47,Jun-95,Jun,1995,8.5,8.7,8.1
48,Jul-95,Jul,1995,8.5,9.1,7.7
49,Aug-95,Aug,1995,8.3,8.7,7.8
50,Sep-95,Sep,1995,9.0,9.2,8.7
51,Oct-95,Oct,1995,8.9,8.9,8.9
52,Nov-95,Nov,1995,8.1,8.1,8.2
53,Dec-95,Dec,1995,8.2,8.6,7.7
54,Jan-96,Jan,1996,9.1,9.2,9.0
55,Feb-96,Feb,1996,9.8,9.8,9.8
56,Mar-96,Mar,1996,8.8,8.9,8.7
57,Apr-96,Apr,1996,8.9,8.8,9.0
58,May-96,May,1996,8.3,8.4,8.3
59,Jun-96,Jun,1996,7.8,7.7,7.8
60,Jul-96,Jul,1996,8.1,7.8,8.5
61,Aug-96,Aug,1996,8.6,8.5,8.8
62,Sep-96,Sep,1996,9.2,9.3,9.0
63,Oct-96,Oct,1996,8.9,9.0,8.8
64,Nov-96,Nov,1996,8.8,8.8,8.7
65,Dec-96,Dec,1996,9.1,8.9,9.2
66,Jan-97,Jan,1997,9.2,9.4,8.9
67,Feb-97,Feb,1997,9.9,9.9,10.0
68,Mar-97,Mar,1997,9.3,9.4,9.3
69,Apr-97,Apr,1997,9.0,8.9,9.0
70,May-97,May,1997,8.9,8.8,8.9
71,Jun-97,Jun,1997,8.8,9.1,8.4
72,Jul-97,Jul,1997,8.4,8.7,8.0
73,Aug-97,Aug,1997,8.8,8.9,8.7
74,Sep-97,Sep,1997,8.7,9.1,8.2
75,Oct-97,Oct,1997,7.7,7.6,7.9
76,Nov-97,Nov,1997,7.5,7.5,7.4
77,Dec-97,Dec,1997,8.0,8.0,7.9
78,Jan-98,Jan,1998,8.7,8.8,8.7
79,Feb-98,Feb,1998,8.5,8.3,8.6
80,Mar-98,Mar,1998,8.5,8.4,8.7
81,Apr-98,Apr,1998,8.1,8.0,8.2
82,May-98,May,1998,7.9,8.2,7.7
83,Jun-98,Jun,1998,7.7,7.8,7.5
84,Jul-98,Jul,1998,7.5,7.6,7.3
85,Aug-98,Aug,1998,7.6,7.9,7.3
86,Sep-98,Sep,1998,7.8,7.7,7.9
87,Oct-98,Oct,1998,7.2,7.4,6.9
88,Nov-98,Nov,1998,7.3,7.3,7.4
89,Dec-98,Dec,1998,7.0,7.1,6.8
90,Jan-99,Jan,1999,7.5,7.8,7.2
91,Feb-99,Feb,1999,8.2,8.1,8.2
92,Mar-99,Mar,1999,7.3,7.2,7.4
93,Apr-99,Apr,1999,7.4,7.8,6.8
94,May-99,May,1999,7.4,7.9,6.7
95,Jun-99,Jun,1999,6.8,7.1,6.5
96,Jul-99,Jul,1999,6.7,6.7,6.7
97,Aug-99,Aug,1999,6.8,7.1,6.5
98,Sep-99,Sep,1999,7.2,7.3,7.1
99,Oct-99,Oct,1999,6.2,6.3,6.2
100,Nov-99,Nov,1999,6.1,6.3,5.9
101,Dec-99,Dec,1999,6.5,6.7,6.3
102,Jan-00,Jan,2000,7.1,6.9,7.5
103,Feb-00,Feb,2000,7.3,6.8,8.0
104,Mar-00,Mar,2000,6.9,6.6,7.3
105,Apr-00,Apr,2000,6.4,6.4,6.4
106,May-00,May,2000,6.7,6.8,6.5
107,Jun-00,Jun,2000,5.9,6.0,5.8
108,Jul-00,Jul,2000,5.6,5.3,5.8
109,Aug-00,Aug,2000,5.8,6.1,5.5
110,Sep-00,Sep,2000,6.1,6.1,6.2
111,Oct-00,Oct,2000,5.5,5.7,5.4
112,Nov-00,Nov,2000,5.4,5.7,5.0
113,Dec-00,Dec,2000,5.7,6.1,5.1
114,Jan-01,Jan,2001,6.1,6.2,6.1
115,Feb-01,Feb,2001,6.7,6.4,7.0
116,Mar-01,Mar,2001,6.3,6.2,6.5
117,Apr-01,Apr,2001,6.3,6.4,6.2
118,May-01,May,2001,6.4,6.1,6.9
119,Jun-01,Jun,2001,6.1,5.9,6.3
120,Jul-01,Jul,2001,6.0,5.9,6.1
121,Aug-01,Aug,2001,6.4,6.6,6.2
122,Sep-01,Sep,2001,6.6,6.9,6.2
123,Oct-01,Oct,2001,6.8,7.2,6.3
124,Nov-01,Nov,2001,6.1,6.2,6.0
125,Dec-01,Dec,2001,6.7,6.5,6.9
126,Jan-02,Jan,2002,7.1,7.2,6.9
127,Feb-02,Feb,2002,7.0,6.9,7.1
128,Mar-02,Mar,2002,6.3,6.3,6.3
129,Apr-02,Apr,2002,5.7,6.0,5.3
130,May-02,May,2002,5.8,6.1,5.5
131,Jun-02,Jun,2002,6.1,6.1,6.1
132,Jul-02,Jul,2002,5.2,5.3,4.9
133,Aug-02,Aug,2002,6.1,6.3,5.7
134,Sep-02,Sep,2002,6.1,6.1,6.1
135,Oct-02,Oct,2002,5.7,6.0,5.4
136,Nov-02,Nov,2002,5.3,5.3,5.2
137,Dec-02,Dec,2002,5.5,5.6,5.4
138,Jan-03,Jan,2003,6.0,6.3,5.6
139,Feb-03,Feb,2003,5.6,5.8,5.4
140,Mar-03,Mar,2003,5.9,5.5,6.3
141,Apr-03,Apr,2003,5.8,5.8,5.9
142,May-03,May,2003,5.9,5.9,6.0
143,Jun-03,Jun,2003,5.7,5.6,5.7
144,Jul-03,Jul,2003,5.3,5.2,5.4
145,Aug-03,Aug,2003,5.3,5.3,5.4
146,Sep-03,Sep,2003,5.4,5.4,5.5
147,Oct-03,Oct,2003,5.3,5.0,5.6
148,Nov-03,Nov,2003,4.8,4.6,5.0
149,Dec-03,Dec,2003,5.5,5.2,5.9
150,Jan-04,Jan,2004,5.8,5.9,5.8
151,Feb-04,Feb,2004,6.3,5.6,7.0
152,Mar-04,Mar,2004,5.5,5.0,6.0
153,Apr-04,Apr,2004,5.7,5.7,5.7
154,May-04,May,2004,5.1,5.3,4.8
155,Jun-04,Jun,2004,5.1,5.2,5.1
156,Jul-04,Jul,2004,5.0,4.8,5.3
157,Aug-04,Aug,2004,5.6,5.5,5.9
158,Sep-04,Sep,2004,5.9,6.0,5.8
159,Oct-04,Oct,2004,5.4,5.5,5.2
160,Nov-04,Nov,2004,5.2,5.2,5.1
161,Dec-04,Dec,2004,5.5,5.3,5.7
162,Jan-05,Jan,2005,5.8,5.7,5.8
163,Feb-05,Feb,2005,6.1,5.7,6.5
164,Mar-05,Mar,2005,5.6,5.3,6.0
165,Apr-05,Apr,2005,5.6,5.2,6.0
166,May-05,May,2005,5.4,5.0,5.8
167,Jun-05,Jun,2005,5.0,4.8,5.2
168,Jul-05,Jul,2005,4.9,4.3,5.6
169,Aug-05,Aug,2005,4.9,4.5,5.5
170,Sep-05,Sep,2005,5.6,5.2,6.0
171,Oct-05,Oct,2005,5.1,4.9,5.3
172,Nov-05,Nov,2005,4.8,4.8,4.8
173,Dec-05,Dec,2005,5.3,5.1,5.4
174,Jan-06,Jan,2006,5.6,5.3,6.0
175,Feb-06,Feb,2006,5.9,5.6,6.4
176,Mar-06,Mar,2006,5.4,5.3,5.5
177,Apr-06,Apr,2006,5.4,5.0,5.8
178,May-06,May,2006,5.1,4.8,5.4
179,Jun-06,Jun,2006,4.8,4.6,5.1
180,Jul-06,Jul,2006,4.7,4.6,4.9
181,Aug-06,Aug,2006,4.4,4.4,4.4
182,Sep-06,Sep,2006,4.6,4.6,4.6
183,Oct-06,Oct,2006,4.7,4.6,4.8
184,Nov-06,Nov,2006,4.3,4.0,4.6
185,Dec-06,Dec,2006,5.0,4.8,5.2
186,Jan-07,Jan,2007,5.3,5.0,5.6
187,Feb-07,Feb,2007,5.4,4.9,6.1
188,Mar-07,Mar,2007,5.1,4.6,5.7
189,Apr-07,Apr,2007,4.9,4.4,5.5
190,May-07,May,2007,4.7,4.3,5.2
191,Jun-07,Jun,2007,4.5,3.8,5.3
192,Jul-07,Jul,2007,4.0,3.6,4.5
193,Aug-07,Aug,2007,4.6,4.2,5.0
194,Sep-07,Sep,2007,4.3,3.8,4.9
195,Oct-07,Oct,2007,4.2,3.9,4.5
196,Nov-07,Nov,2007,4.5,4.0,5.0
197,Dec-07,Dec,2007,4.8,4.7,4.9
198,Jan-08,Jan,2008,4.8,4.3,5.4
199,Feb-08,Feb,2008,4.7,4.0,5.5
200,Mar-08,Mar,2008,4.5,4.4,4.7
201,Apr-08,Apr,2008,4.9,4.3,5.5
202,May-08,May,2008,4.3,3.9,4.8
203,Jun-08,Jun,2008,4.5,4.3,4.7
204,Jul-08,Jul,2008,4.4,3.9,4.9
205,Aug-08,Aug,2008,4.1,3.7,4.5
206,Sep-08,Sep,2008,4.4,4.1,4.8
207,Oct-08,Oct,2008,4.1,3.8,4.5
208,Nov-08,Nov,2008,4.1,3.7,4.6
209,Dec-08,Dec,2008,4.7,4.7,4.7
210,Jan-09,Jan,2009,5.2,5.4,5.0
211,Feb-09,Feb,2009,6.3,6.0,6.7
212,Mar-09,Mar,2009,6.1,5.9,6.2
213,Apr-09,Apr,2009,6.0,5.9,6.0
214,May-09,May,2009,6.0,6.4,5.5
215,Jun-09,Jun,2009,5.9,6.5,5.1
216,Jul-09,Jul,2009,5.5,6.2,4.6
217,Aug-09,Aug,2009,5.9,6.4,5.4
218,Sep-09,Sep,2009,5.6,5.9,5.3
219,Oct-09,Oct,2009,5.3,5.4,5.1
220,Nov-09,Nov,2009,4.7,4.9,4.6
221,Dec-09,Dec,2009,5.2,5.0,5.5
222,Jan-10,Jan,2010,5.7,5.3,6.0
223,Feb-10,Feb,2010,5.9,5.8,6.0
224,Mar-10,Mar,2010,5.8,6.0,5.6
225,Apr-10,Apr,2010,5.6,5.8,5.4
226,May-10,May,2010,5.5,5.7,5.2
227,Jun-10,Jun,2010,5.3,5.1,5.5
228,Jul-10,Jul,2010,5.2,5.2,5.1
229,Aug-10,Aug,2010,5.3,5.1,5.6
230,Sep-10,Sep,2010,5.2,5.2,5.2
231,Oct-10,Oct,2010,5.2,5.0,5.5
232,Nov-10,Nov,2010,4.8,4.3,5.4
233,Dec-10,Dec,2010,4.7,4.5,4.8
234,Jan-11,Jan,2011,5.4,4.9,5.9
235,Feb-11,Feb,2011,5.6,5.4,5.7
236,Mar-11,Mar,2011,4.7,4.2,5.3
237,Apr-11,Apr,2011,4.9,4.9,4.9
238,May-11,May,2011,5.2,4.7,5.7
239,Jun-11,Jun,2011,4.5,4.1,4.8
240,Jul-11,Jul,2011,4.9,4.7,5.2
241,Aug-11,Aug,2011,5.1,4.7,5.4
242,Sep-11,Sep,2011,5.3,5.0,5.7
243,Oct-11,Oct,2011,5.1,5.3,4.9
244,Nov-11,Nov,2011,5.0,5.0,5.0
245,Dec-11,Dec,2011,5.0,4.6,5.4
246,Jan-12,Jan,2012,5.4,5.2,5.7
247,Feb-12,Feb,2012,6.1,5.8,6.4
248,Mar-12,Mar,2012,6.2,6.0,6.6
249,Apr-12,Apr,2012,5.4,4.9,6.1
250,May-12,May,2012,5.5,5.1,5.9
251,Jun-12,Jun,2012,5.3,4.8,5.9
252,Jul-12,Jul,2012,5.1,5.1,5.2
253,Aug-12,Aug,2012,5.5,5.7,5.4
254,Sep-12,Sep,2012,5.7,5.8,5.5
255,Oct-12,Oct,2012,5.2,4.9,5.6
256,Nov-12,Nov,2012,5.0,4.8,5.2
257,Dec-12,Dec,2012,5.4,5.2,5.8
258,Jan-13,Jan,2013,6.5,6.5,6.4
259,Feb-13,Feb,2013,6.2,5.7,6.8
260,Mar-13,Mar,2013,6.1,5.9,6.3
261,Apr-13,Apr,2013,6.0,5.9,6.2
262,May-13,May,2013,5.5,5.5,5.6
