Selected Columns
Unnamed: 0
> Victoria ;  Unemployment rate ;  Persons ;
> Victoria ;  Unemployment rate ;  > Males ;
> Victoria ;  Unemployment rate ;  > Females ;
> New South Wales ;  Unemployment rate ;  Persons ;
> New South Wales ;  Unemployment rate ;  > Males ;
> New South Wales ;  Unemployment rate ;  > Females ;
> Queensland ;  Unemployment rate ;  Persons ;
> Queensland ;  Unemployment rate ;  > Males ;
> Queensland ;  Unemployment rate ;  > Females ;
> South Australia ;  Unemployment rate ;  Persons ;
> South Australia ;  Unemployment rate ;  > Males ;
> South Australia ;  Unemployment rate ;  > Females ;
> Western Australia ;  Unemployment rate ;  Persons ;
> Western Australia ;  Unemployment rate ;  > Males ;
> Western Australia ;  Unemployment rate ;  > Females ;
> Northern Territory ;  Unemployment rate ;  Persons ;
> Northern Territory ;  Unemployment rate ;  > Males ;
> Northern Territory ;  Unemployment rate ;  > Females ;
> Tasmania ;  Unemployment rate ;  Persons ;
> Tasmania ;  Unemployment rate ;  > Males ;
> Tasmania ;  Unemployment rate ;  > Females ;
> Australian Capital Territory ;  Unemployment rate ;  Persons ;
> Australian Capital Territory ;  Unemployment rate ;  > Males ;
> Australian Capital Territory ;  Unemployment rate ;  > Females ;
