Date,Month,Year,Australia ;  Unemployment rate ;  Persons ;,Australia ;  Unemployment rate ;  > Males ;,Australia ;  Unemployment rate ;  > Females ;
Jul-91,Jul,1991,9.5,9.9,8.9
Aug-91,Aug,1991,9.5,10.1,8.5
Sep-91,Sep,1991,10.0,10.4,9.4
Oct-91,Oct,1991,9.4,9.9,8.7
Nov-91,Nov,1991,9.6,10.0,8.9
Dec-91,Dec,1991,10.5,10.9,10.0
Jan-92,Jan,1992,11.2,11.7,10.5
Feb-92,Feb,1992,11.5,11.7,11.1
Mar-92,Mar,1992,10.9,11.2,10.4
Apr-92,Apr,1992,10.5,10.8,10.0
May-92,May,1992,10.6,11.2,9.7
Jun-92,Jun,1992,10.5,11.1,9.7
Jul-92,Jul,1992,10.6,11.3,9.5
Aug-92,Aug,1992,10.4,11.2,9.4
Sep-92,Sep,1992,10.6,11.2,9.7
Oct-92,Oct,1992,10.4,11.1,9.5
Nov-92,Nov,1992,10.5,11.4,9.2
Dec-92,Dec,1992,11.2,11.8,10.4
Jan-93,Jan,1993,11.7,12.5,10.5
Feb-93,Feb,1993,12.1,12.7,11.3
Mar-93,Mar,1993,11.3,11.7,10.6
Apr-93,Apr,1993,10.8,11.7,9.6
May-93,May,1993,10.7,11.6,9.4
Jun-93,Jun,1993,10.7,11.4,9.6
Jul-93,Jul,1993,10.4,11.1,9.4
Aug-93,Aug,1993,10.7,11.4,9.7
Sep-93,Sep,1993,10.7,11.2,10.0
Oct-93,Oct,1993,10.3,10.8,9.7
Nov-93,Nov,1993,10.3,10.7,9.8
Dec-93,Dec,1993,10.7,11.2,10.0
Jan-94,Jan,1994,11.4,11.9,10.8
Feb-94,Feb,1994,11.5,11.7,11.2
Mar-94,Mar,1994,10.8,11.1,10.3
Apr-94,Apr,1994,10.1,10.3,9.7
May-94,May,1994,9.7,10.1,9.2
Jun-94,Jun,1994,9.5,9.8,9.1
Jul-94,Jul,1994,9.1,9.3,8.9
Aug-94,Aug,1994,9.2,9.5,8.8
Sep-94,Sep,1994,9.3,9.5,9.1
Oct-94,Oct,1994,8.6,8.7,8.4
Nov-94,Nov,1994,8.6,8.9,8.3
Dec-94,Dec,1994,8.9,9.0,8.7
Jan-95,Jan,1995,9.5,9.8,9.1
Feb-95,Feb,1995,9.8,9.6,10.0
Mar-95,Mar,1995,9.0,8.9,9.2
Apr-95,Apr,1995,8.3,8.5,7.9
May-95,May,1995,8.4,8.9,7.8
Jun-95,Jun,1995,8.1,8.5,7.5
Jul-95,Jul,1995,7.9,8.4,7.3
Aug-95,Aug,1995,8.1,8.4,7.7
Sep-95,Sep,1995,8.4,8.8,7.8
Oct-95,Oct,1995,8.1,8.4,7.7
Nov-95,Nov,1995,8.0,8.2,7.7
Dec-95,Dec,1995,8.1,8.5,7.5
Jan-96,Jan,1996,9.1,9.6,8.4
Feb-96,Feb,1996,9.2,9.3,9.1
Mar-96,Mar,1996,8.8,9.1,8.5
Apr-96,Apr,1996,8.7,8.8,8.4
May-96,May,1996,8.4,8.5,8.2
Jun-96,Jun,1996,8.0,8.2,7.7
Jul-96,Jul,1996,8.0,8.1,8.0
Aug-96,Aug,1996,8.5,8.8,8.0
Sep-96,Sep,1996,8.6,8.7,8.4
Oct-96,Oct,1996,8.3,8.4,8.1
Nov-96,Nov,1996,8.0,8.2,7.7
Dec-96,Dec,1996,8.5,8.6,8.4
Jan-97,Jan,1997,9.2,9.4,8.9
Feb-97,Feb,1997,9.7,9.7,9.7
Mar-97,Mar,1997,9.0,9.2,8.7
Apr-97,Apr,1997,8.6,8.8,8.4
May-97,May,1997,8.5,8.7,8.3
Jun-97,Jun,1997,8.1,8.3,7.8
Jul-97,Jul,1997,8.0,8.4,7.5
Aug-97,Aug,1997,8.3,8.5,8.0
Sep-97,Sep,1997,8.1,8.5,7.5
Oct-97,Oct,1997,7.6,7.8,7.3
Nov-97,Nov,1997,7.5,7.9,7.1
Dec-97,Dec,1997,7.8,8.0,7.5
Jan-98,Jan,1998,8.5,8.6,8.2
Feb-98,Feb,1998,8.6,8.7,8.5
Mar-98,Mar,1998,8.2,8.4,8.0
Apr-98,Apr,1998,7.6,7.7,7.6
May-98,May,1998,7.7,8.0,7.3
Jun-98,Jun,1998,7.6,8.0,7.1
Jul-98,Jul,1998,7.4,7.9,6.8
Aug-98,Aug,1998,7.5,8.1,6.9
Sep-98,Sep,1998,7.6,7.9,7.3
Oct-98,Oct,1998,6.9,7.2,6.6
Nov-98,Nov,1998,7.2,7.5,6.9
