,Date,Month,Year,> Tasmania ;  Unemployment rate ;  Persons ;,> Tasmania ;  Unemployment rate ;  > Males ;,> Tasmania ;  Unemployment rate ;  > Females ;
0,Jul-91,Jul,1991,10.4,10.6,10.0
1,Aug-91,Aug,1991,10.9,12.0,9.5
2,Sep-91,Sep,1991,11.2,12.2,9.8
3,Oct-91,Oct,1991,10.3,11.4,8.9
4,Nov-91,Nov,1991,11.4,12.4,10.0
5,Dec-91,Dec,1991,11.8,12.4,11.0
6,Jan-92,Jan,1992,12.2,13.0,11.0
7,Feb-92,Feb,1992,11.7,12.2,11.0
8,Mar-92,Mar,1992,11.4,12.1,10.6
9,Apr-92,Apr,1992,10.4,11.1,9.4
10,May-92,May,1992,10.6,11.3,9.6
11,Jun-92,Jun,1992,11.7,12.1,11.1
12,Jul-92,Jul,1992,11.2,11.8,10.4
13,Aug-92,Aug,1992,11.1,12.5,9.1
14,Sep-92,Sep,1992,11.5,13.1,9.1
15,Oct-92,Oct,1992,11.9,13.7,9.3
16,Nov-92,Nov,1992,11.2,13.0,8.7
17,Dec-92,Dec,1992,12.6,14.1,10.6
18,Jan-93,Jan,1993,13.6,15.0,11.6
19,Feb-93,Feb,1993,12.9,13.9,11.4
20,Mar-93,Mar,1993,12.1,13.6,9.8
21,Apr-93,Apr,1993,12.4,13.3,11.2
22,May-93,May,1993,11.6,12.8,9.9
23,Jun-93,Jun,1993,13.0,14.1,11.4
24,Jul-93,Jul,1993,12.3,13.5,10.6
25,Aug-93,Aug,1993,13.2,14.6,11.1
26,Sep-93,Sep,1993,12.8,13.7,11.7
27,Oct-93,Oct,1993,12.6,14.0,10.7
28,Nov-93,Nov,1993,12.2,14.1,9.5
29,Dec-93,Dec,1993,12.1,13.2,10.5
30,Jan-94,Jan,1994,12.8,14.2,10.7
31,Feb-94,Feb,1994,12.3,13.7,10.5
32,Mar-94,Mar,1994,11.7,13.2,9.7
33,Apr-94,Apr,1994,11.5,12.3,10.5
34,May-94,May,1994,10.7,12.0,8.8
35,Jun-94,Jun,1994,10.3,11.5,8.7
36,Jul-94,Jul,1994,10.5,11.2,9.6
37,Aug-94,Aug,1994,10.4,11.8,8.4
38,Sep-94,Sep,1994,10.8,12.0,9.3
39,Oct-94,Oct,1994,10.1,10.5,9.5
40,Nov-94,Nov,1994,10.6,11.5,9.4
41,Dec-94,Dec,1994,10.8,11.6,9.8
42,Jan-95,Jan,1995,12.1,12.7,11.4
43,Feb-95,Feb,1995,11.9,12.6,10.9
44,Mar-95,Mar,1995,10.1,10.6,9.4
45,Apr-95,Apr,1995,9.7,10.5,8.5
46,May-95,May,1995,9.9,11.1,8.3
47,Jun-95,Jun,1995,9.9,11.4,7.7
48,Jul-95,Jul,1995,9.0,9.7,8.1
49,Aug-95,Aug,1995,10.1,11.6,8.1
50,Sep-95,Sep,1995,9.5,10.7,7.9
51,Oct-95,Oct,1995,9.0,9.5,8.4
52,Nov-95,Nov,1995,10.1,11.0,8.9
53,Dec-95,Dec,1995,10.2,11.4,8.8
54,Jan-96,Jan,1996,10.7,11.9,9.2
55,Feb-96,Feb,1996,10.2,10.8,9.3
56,Mar-96,Mar,1996,10.2,10.9,9.2
57,Apr-96,Apr,1996,9.5,10.6,8.0
58,May-96,May,1996,9.8,10.9,8.4
59,Jun-96,Jun,1996,10.3,11.4,8.7
60,Jul-96,Jul,1996,10.5,11.1,9.7
61,Aug-96,Aug,1996,10.0,10.8,9.0
62,Sep-96,Sep,1996,10.5,11.2,9.5
63,Oct-96,Oct,1996,10.3,10.7,9.9
64,Nov-96,Nov,1996,9.8,10.1,9.4
65,Dec-96,Dec,1996,11.3,12.0,10.3
66,Jan-97,Jan,1997,11.1,11.5,10.6
67,Feb-97,Feb,1997,11.7,11.9,11.4
68,Mar-97,Mar,1997,10.5,10.7,10.2
69,Apr-97,Apr,1997,10.5,11.6,8.9
70,May-97,May,1997,10.0,10.4,9.5
71,Jun-97,Jun,1997,10.9,11.4,10.1
72,Jul-97,Jul,1997,11.0,12.0,9.8
73,Aug-97,Aug,1997,10.9,11.2,10.5
74,Sep-97,Sep,1997,10.9,10.2,11.8
