            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3401.0.55.004 Overseas Travel Statistics, Provisional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Movement, Arrivals and Departures - Country of Citizenship(a)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30 am (Canberra time) 15 December 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.2 Total Movement, Departures by Country of Citizenship(a), Sep-2016 to Nov-2020(b)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACC code(a),Country of citizenship(a),Sep-2016,Oct-2016,Nov-2016,Dec-2016,Jan-2017,Feb-2017,Mar-2017,Apr-2017,May-2017,Jun-2017,Jul-2017,Aug-2017,Sep-2017,Oct-2017,Nov-2017,Dec-2017,Jan-2018,Feb-2018,Mar-2018,Apr-2018,May-2018,Jun-2018,Jul-2018,Aug-2018,Sep-2018,Oct-2018,Nov-2018,Dec-2018,Jan-2019,Feb-2019,Mar-2019,Apr-2019,May-2019,Jun-2019,Jul-2019,Aug-2019,Sep-2019,Oct-2019,Nov-2019,Dec-2019,Jan-2020,Feb-2020,Mar-2020,Apr-2020,May-2020,Jun-2020,Jul-2020,Aug-2020,Sep-2020,Oct-2020,Nov-2020,
1101,Australia,"866,140 ","701,180 ","655,800 ","956,990 ","732,790 ","540,330 ","665,680 ","809,460 ","737,500 ","875,110 ","843,030 ","783,000 ","931,340 ","708,050 ","695,780 ","981,710 ","747,560 ","551,210 ","747,370 ","801,130 ","770,910 ","913,330 ","885,390 ","826,310 ","951,390 ","758,530 ","717,530 ","1,039,260 ","780,980 ","555,740 ","690,820 ","885,880 ","798,700 ","905,070 ","890,000 ","828,290 ","973,600 ","773,880 ","734,570 ","1,056,000 ","807,880 ","527,820 ","247,510 ","3,480 ","5,050 ","7,280 ","12,310 ","14,330 ","11,740 ","11,860","10,950",
1102,Norfolk Island,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
1199,Australian External Territories nec,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
1201,New Zealand,"155,740 ","186,450 ","150,930 ","179,880 ","164,000 ","122,510 ","143,840 ","163,170 ","142,080 ","144,270 ","165,840 ","153,420 ","155,290 ","186,630 ","151,510 ","178,230 ","164,330 ","121,230 ","148,990 ","152,950 ","141,120 ","146,010 ","167,110 ","160,830 ","160,260 ","187,630 ","155,390 ","181,790 ","164,720 ","124,410 ","146,790 ","164,150 ","145,670 ","147,940 ","167,310 ","162,410 ","164,390 ","190,850 ","157,460 ","193,340 ","170,600 ","126,690 ","87,620 ","1,860 ","3,140 ","3,620 ","3,790 ","4,130 ","3,410 ","3,330","3,400",
1301,New Caledonia,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
1302,Papua New Guinea,"3,590 ","3,150 ","3,590 ","4,610 ","4,740 ","2,580 ","3,070 ","3,260 ","2,720 ","3,210 ","3,640 ","2,920 ","3,790 ","3,650 ","3,700 ","4,150 ","4,210 ","2,470 ","2,900 ","3,010 ","2,610 ","3,170 ","3,370 ","2,740 ","3,290 ","2,900 ","3,340 ","4,490 ","4,090 ","2,650 ","2,820 ","3,440 ","2,910 ","3,500 ","3,800 ","3,530 ","3,860 ","3,400 ","3,490 ","4,240 ","4,020 ","2,630 ","1,740 ",10 ,140 ,220 ,130 ,120 ,70 ,130,110,
1303,Solomon Islands,520 ,480 ,610 ,880 ,610 ,340 ,470 ,470 ,490 ,540 ,530 ,340 ,450 ,720 ,590 ,830 ,600 ,350 ,470 ,600 ,580 ,600 ,520 ,430 ,520 ,660 ,640 ,910 ,680 ,440 ,450 ,400 ,520 ,610 ,610 ,440 ,590 ,700 ,730 ,850 ,530 ,420 ,290 ,0 ,30 ,20 ,40 ,0 ,0 ,30,0,
1304,Vanuatu,260 ,420 ,340 ,710 ,640 ,430 ,340 ,450 ,640 ,390 ,340 ,340 ,460 ,520 ,550 ,"1,090 ",510 ,350 ,520 ,640 ,770 ,510 ,440 ,400 ,630 ,570 ,710 ,"1,570 ",740 ,470 ,630 ,780 ,870 ,690 ,600 ,720 ,830 ,920 ,"1,060 ","1,600 ",650 ,630 ,390 ,0 ,0 ,100 ,0 ,0 ,290 ,160,20,
1401,Guam,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,
1402,Kiribati,70 ,60 ,110 ,130 ,50 ,50 ,90 ,70 ,110 ,90 ,90 ,70 ,80 ,120 ,230 ,110 ,70 ,60 ,120 ,120 ,160 ,150 ,110 ,90 ,100 ,170 ,200 ,180 ,200 ,110 ,110 ,100 ,170 ,150 ,140 ,140 ,180 ,180 ,200 ,210 ,170 ,80 ,60 ,0 ,0 ,0 ,0 ,0 ,0 ,10,40,
